Time;Temp;RH;CO2
2022-05-12T07:00:00Z;27.9455;36.71375;547.113
2022-05-12T08:00:00Z;27.284;39.9415;701.3885
2022-05-12T09:00:00Z;26.9955;40.7805;779.15825
2022-05-12T10:00:00Z;26.9945;42.5645;706.0315
2022-05-12T11:00:00Z;27.25325;42.62775;750.8865
2022-05-12T12:00:00Z;27.3935;42.21275;797.79425
2022-05-12T13:00:00Z;27.8375;42.7245;936.54175
2022-05-12T14:00:00Z;27.83;42.7775;981.07375
2022-05-12T15:00:00Z;26.86375;40.10075;974.37375
2022-05-12T16:00:00Z;25.8525;40.5055;1076.88875
2022-05-12T17:00:00Z;25.5695;40.532;1088.838
2022-05-17T15:00:00Z;27.22833333;46.748;471.2856667
2022-05-17T16:00:00Z;26.81158333;45.97466667;514.0311667
2022-05-17T17:00:00Z;26.51272727;45.05236364;464.9365455
2022-05-18T08:00:00Z;22.05625;51.49125;436.75525
2022-05-18T09:00:00Z;22.3735;51.50066667;470.4013333
2022-05-18T10:00:00Z;22.70225;51.03458333;489.3375833
2022-05-18T11:00:00Z;23.03141667;50.40241667;473.2633333
2022-05-18T12:00:00Z;23.64908333;49.18666667;482.6845
2022-05-18T13:00:00Z;24.38975;47.62666667;493.4396667
2022-05-18T14:00:00Z;24.75008333;45.35833333;474.1090833
2022-05-18T15:00:00Z;25.05758333;43.896;461.53275
2022-05-18T16:00:00Z;24.99972727;42.07454545;487.5646364
2022-05-18T17:00:00Z;24.91145455;41.02818182;505.979
2022-05-18T18:00:00Z;24.79066667;41.21258333;461.9568333
2022-05-18T19:00:00Z;24.80666667;42.33516667;491.6071667
2022-05-18T20:00:00Z;24.69383333;42.63366667;492.9868333
2022-05-18T21:00:00Z;24.49369231;43.07761538;484.7935385
2022-05-18T22:00:00Z;24.24866667;43.65833333;477.9021667
2022-05-18T23:00:00Z;24.06058333;44.24366667;473.0365833
2022-05-19T00:00:00Z;23.891;44.71241667;475.1598333
